word,late,age,links
acrid (adj.),,1712,Latin%PIE
acrimonious (adj.),,1610,French%Medieval Latin%Latin
acrimony (n.),,1540,Middle French%Latin
acro-,-,-,Greek
acrobat (n.),,1825,French%Greek
acromegaly (n.),,1886,French%Greek
acrophobia (n.),,1887,Greek
acropolis (n.),,1660,Greek
across (adv.),early ,14,Anglo-French
acrostic (n.),,1580,Medieval Latin%Greek
acrylic (adj.),,1855,Latin
act (n.),late ,14,Old French%Latin%PIE
act (v.),mid-,15,Latin
actinium (n.),,1899,Greek
actino-,-,-,Greek
action (n.),mid-,14,Anglo-French%Latin
active (adj.),mid-,14,Old French%Latin
activity (n.),,1400,Old French%Medieval Latin%Latin
actor (n.),late ,14,Latin
actual (adj.),early ,14,Old French%Late Latin
actuality (n.),late ,14,Old French%Medieval Latin%Late Latin
actuary (n.),,1550,Latin
actuate (v.),,1590,Medieval Latin%Latin
acuity (n.),early ,15,Middle French%Medieval Latin%Latin%PIE
acumen (n.),,1530,Latin
acupressure (n.),,1859,Latin
acupuncture (n.),,1680,Latin
acute (adj.),late ,14,Latin
ad lib,,1811,Latin
ad-,,14,Latin%PIE
Ada,-,-,Hebrew
adage (n.),,1540,Latin%PIE
adagio (adv.),,1746,Vulgar Latin
Adam,,1784,Hebrew
adamant (n.),mid-,14,Old French%Latin%Greek
adamantine (adj.),,1200,Latin%Greek
adapt (v.),early ,15,Middle French%Latin
adaptation (n.),,1600,French%Late Latin
add (v.),late ,14,Latin
addendum (n.),,1794,Latin
adder (n.),,14,Old English%Proto-Germanic%PIE
addict (v.),,1530,Latin
addiction (n.),,1600,Latin
addition (n.),late ,14,Old French%Latin
additive (adj.),,1690,Latin
addle (v.),,1712,Old English
address (v.),early ,14,Old French%Vulgar Latin%Latin%Latin
address (n.),,1530,French
adduce (v.),early ,15,Latin
Adelaide,-,-,French
Adelphia,,1882,Greek
Aden,-,-,Akkadian
adenine (n.),,1885,Greek
adenoid (adj.),,1839,Greek
adept (adj.),,1690,Latin
adept (n.),,1660,Latin
adequate (adj.),,1610,Latin
adhere (v.),,1590,Middle French%Latin
adherence (n.),mid-,15,Middle French%Latin
adherent (adj.),late ,14,Old French%Latin
adherent (n.),early ,15,Old French%Latin
adhesion (n.),,1620,French%Latin
adhesive (adj.),,1660,French%Latin
adiabatic (adj.),,1838,Greek
adieu,late ,14,French%Latin%PIE
adios,,1837,Spanish
adipose (adj.),,1743,Modern Latin%Latin%Greek
adit (n.),,1600,Latin%PIE
adjacent (adj.),early ,15,Latin
adjective,late ,14,Old French%Latin
adjoin (v.),,1300,Old French%Latin
adjourn (v.),early ,14,Old French
adjournment (n.),mid-,15,Old French
adjudge (v.),late ,14,Old French%Latin
adjudicate (v.),,1700,Latin
adjudication (n.),,1690,French%Late Latin
adjunct (n.),,1580,Latin
adjunct (adj.),,1590,Latin
adjuration (n.),late ,14,Late Latin
adjure (v.),late ,14,Latin
adjust (v.),late ,14,Middle French%Late Latin%Latin%Latin
adjustment (n.),,1640,French
adjutant (n.),,1600,Latin
administer (v.),late ,14,Old French%Latin
administrate (v.),,1630,Latin
administration (n.),mid-,14,Latin
administrative (adj.),,1731,Latin
administrator (n.),mid-,15,Middle French%Latin
admirable (adj.),mid-,15,Middle French%Latin
admiral (n.),,1200,Old French
admiralty (n.),early ,15,Old French
admiration (n.),early ,15,Middle French%Latin
admire (v.),early ,15,Middle French%Latin
admissible (adj.),,1610,Middle French
admission (n.),early ,15,Latin
admit (v.),late ,14,Latin
admixture (n.),,1600,Latin
admonish (v.),mid-,14,Old French%Vulgar Latin%Latin
admonition (n.),late ,14,Old French%Latin
admonitory (adj.),,1590,Late Latin%Latin
adobe (n.),,1739,Spanish%Coptic
adolescence (n.),,15,Middle French%Latin
adolescent (n.),mid-,15,Middle French%Latin
adolescent (adj.),,1785,Latin
Adolph,-,-,Old High German
Adonis (n.),,1620,Greek%Phoenician
adopt (v.),,1500,Middle French%Latin
adoption (n.),mid-,14,Old French%Latin
adoptive (adj.),early ,15,Middle French%Latin
adorable (adj.),,1610,French%Latin
adoration (n.),,1540,Middle French%Latin
adore (v.),late ,14,Old French%Latin
adorn (v.),late ,14,Old French%Latin
adornment (n.),late ,14,Old French
Adrastea,-,-,Greek
adrenal (adj.),,1866,Latin
adrenaline (n.),,1901,Modern Latin
Adrian,-,-,Latin
Adriatic,,12,Latin
adroit (adj.),,1650,French%Old French%Late Latin
adulation (n.),late ,14,Old French%Latin%PIE
adult (adj.),,1530,Latin
adulterate (v.),,1530,Latin
adulteration (n.),,1500,Latin
adulterer (n.),early ,15,Latin
adultery (n.),,1300,Old French%Latin
adumbrate (v.),,1580,Latin
adumbration (n.),,1530,Latin%PIE
advance (v.),mid-,13,Old French%Vulgar Latin%Late Latin%Latin
advancement (n.),,1300,Old French
advantage (n.),early ,14,Old French%Latin
advantageous (adj.),,1590,French
advent (n.),,1742,Latin
adventitious (adj.),,1600,Medieval Latin
adventure (n.),,1200,Old French%Latin
adventurous (adj.),mid-,14,Old French
adverb (n.),late ,14,Late Latin
adverbial (adj.),,1610,Late Latin
adversary (n.),mid-,14,Anglo-French%Latin
adverse (adj.),late ,14,Old French%Latin
adversity (n.),,1200,Old French%Latin
advert (v.),mid-,15,Middle French%Late Latin
advertise (v.),early ,15,Middle French%Latin
advertisement (n.),early ,15,Middle French
advice (n.),late ,13,Old French%Vulgar Latin%Latin
advise (v.),late ,13,Old French
advisement (n.),early ,14,Old French
advocacy (n.),late ,14,Old French%Medieval Latin%Latin
advocate (n.),mid-,14,Old French%Latin
adze (n.),,18,Middle English%Old English
Aegean,,1570,Greek
aegis (n.),,1793,Latin%Greek%PIE
Aeneas,late ,15,Greek%French
Aeolian (adj.),,1600,Latin%Greek
aerate (v.),,1794,Latin
aeration (n.),,1570,French%Latin
aerial (adj.),,1600,Latin
aerie (n.),,1580,Old French%Latin
aero-,,1,Greek
aerobic (adj.),,1875,Greek
aerodonetics (n.),,1907,Greek
aeronautics (n.),,1824,French%Latin%Greek
aeroplane (n.),,1866,French%Greek%Latin
aesthete (n.),,1878,Greek
aesthetic (n.),,1798,German%Greek%PIE
afanc (n.),-,-,Celtic
afar (adv.),late ,12,Old English
affability (n.),late ,15,Old French
affable (adj.),late ,15,Old French%Latin
affair (n.),,1300,Anglo-French%Latin
affect (v.2),,1660,Middle French%Latin
affectation (n.),,1540,French%Latin
affection (n.),early ,13,Old French%Latin
affiance (v.),,1520,Old French%Late Latin
affidavit (n.),,1590,Medieval Latin%Latin
affiliate (v.),,1761,Latin
affiliation (n.),,1751,French%Medieval Latin
affinity (n.),,1300,Old French%Latin
affirm (v.),,1300,Old French%Latin
affirmation (n.),early ,15,Old French%Latin
affirmative (adj.),mid-,15,Middle French%Latin
affix (v.),,1530,Medieval Latin%Middle French
afflatus (n.),,1660,Latin
afflict (v.),late ,14,Old French%Latin%PIE
affliction (n.),,1300,Old French%Latin
affluence (n.),mid-,14,Old French%Latin
affluent (adj.),mid-,15,Middle French%Latin
affray (n.),,1300,Old French%Vulgar Latin%Latin%Proto-Germanic%PIE
affricative (n.),,1879,Latin
affront (v.),early ,14,Old French%Late Latin%Latin
aficionado (n.),,1845,Spanish%Latin
afield (adv.),,1590,Old English
afraid (adj.),early ,14,Anglo-French%Old French
Afric (adj.),,1580,Latin
Africa,-,-,Latin
African (n.),,1815,Latin
Afrikaans (n.),,1892,Dutch
Afrikander (n.),,1822,Dutch
Afro-,-,-,Latin
after (prep.),,1861,Old English%Old English
aftermath (n.),,1520,Old English
afterward (adv.),-,-,Old English
aga (n.),,1600,Turkish
agape (n.),,1600,Greek
agate (n.),,1560,Middle French%Latin%Greek
Agatha,,1940,Greek
agathist (n.),,1816,Greek
agave (n.),,1797,Latin%Greek
age (n.),late ,13,Old French%Vulgar Latin%Latin%PIE
agency (n.),,1650,Medieval Latin%Latin
agenda (n.),,1650,Latin
agent (n.),late ,15,Latin
agglomerate (v.),,1680,Latin%PIE
agglomeration (n.),,1774,Latin
agglutinate (v.),,1580,Latin
agglutination (n.),,1540,Latin%PIE
agglutinative (adj.),,1630,Latin
aggrandize (v.),,1630,French%Latin
aggrandizement (n.),,1650,French
aggravate (v.),,1520,Latin
aggravation (n.),late ,15,Middle French%Late Latin
aggregate (adj.),,1400,Latin
aggregate (v.),,1400,Latin
aggregation (n.),early ,15,Middle French%Medieval Latin
aggress (v.),,1714,French%Late Latin
aggression (n.),,1610,French%Latin
aggressive (adj.),,1791,Latin
aggressor (n.),,1670,Latin
aggrieve (v.),early ,14,Old French%Latin
agile (adj.),,1580,Middle French%Latin
agility (n.),early ,15,Old French%Latin
agitate (v.),,1580,Latin
agitation (n.),,1560,French%Latin
agitprop (n.),,1938,Russian
Agnes,mid-,12,Old French%Greek%PIE
"agog (adj., adv.)",,1400,Old French
agonist (n.),,1876,Greek
agonize (v.),,1580,Middle French%Medieval Latin%Greek
agony (n.),late ,14,Old French%Late Latin%Greek
agora (n.),,1590,Greek%PIE
agoraphobia (n.),,1873,German%Greek
agrarian (adj.),,1610,Middle French%Latin%PIE
agree (v.),late ,14,Old French%Latin
agreeable (adj.),late ,14,Old French
agreeance (n.),,1530,Middle French
agreement (n.),late ,14,Old French
agriculture (n.),mid-,15,Late Latin
agriology (n.),,1878,Greek
agro-,-,-,Greek
agronomy (n.),,1814,French%Greek
ague (n.),,1300,Old French%Medieval Latin
ah,mid-,15,Old French
ahimsa (n.),,1875,Sanskrit
Ahura Mazda,-,-,Avestan%Indo-Iranian%PIE
aid (n.),early ,15,Old French%Late Latin
aid (v.),,1400,Old French%Latin
aiglet (n.),mid-,15,Middle French%Late Latin
aikido (n.),,1936,Japanese%Chinese
ail (v.),,1300,Old English%Proto-Germanic%PIE
aileron (n.),,1909,French%French%Latin
ailurophile (n.),,1931,Greek
aim (v.),early ,14,Old French%Latin
air (n.1),,1300,Old French%Latin%Greek
air (n.2),,1590,French%Latin
air (n.3),,1580,Italian
aisle (n.),late ,14,Old French%Latin%PIE
ajar,,1718,Middle English%Old English
Ajax,-,-,Greek
al dente,,1935,Latin
al fresco,,1753,Latin
alabaster (n.),late ,14,Old French%Latin%Greek%Egyptian
alabastrine (adj.),,1590,Medieval Latin
alacrity (n.),mid-,15,Latin
Aladdin,-,-,Arabic
Alamo,,1718,Latin
Alan,,1066,Old Breton
alar (adj.),,1840,Latin%PIE
Alaric,-,-,Proto-Germanic
alarm (n.),early ,14,Old French%Italian
alas,mid-,13,Old French%Latin
Alaska,,18,Aleut
alb (n.),,322,Late Latin%PIE
albacore (n.),,1570,Portuguese%Arabic
Albania,,235,Medieval Greek
albatross (n.),,1670,Arabic%Portuguese%Arabic
albedo (n.),,1859,Latin
Albert,,1861,Old High German
Albigensian,,1600,French
albino (n.),,1777,Latin
Albion,,900,Latin
album (n.),,1650,Latin
albumen (n.),,1590,Latin
Albuquerque,,1706,Latin
Alcestis,-,-,Greek
alchemist (n.),,1510,Middle French%Medieval Latin
alchemy (n.),mid-,14,Old French%Medieval Latin%Arabic%Greek%Greek
alcohol (n.),,1540,Medieval Latin%Arabic
alcoholism (n.),,1852,Modern Latin
Alcoran (n.),mid-,14,Old French%Arabic
alcove (n.),,1670,French%Spanish%Arabic
Aldebaran,late ,14,Arabic
alder (n.),,14,Proto-Germanic
ale (n.),,1959,Old English%Proto-Germanic%PIE
aleatory (adj.),,1690,Latin
alectryomachy (n.),,1650,Greek
Alemanni,-,-,Proto-Germanic
alembic (n.),late ,14,Middle French%Arabic%Greek
alert (adv.),,1590,French%Italian%Latin
Alethea,,3,Greek
Alexander,,1930,Greek
Alexandrine,,1580,Old French
Alexis,,1,Greek
alfalfa (n.),,1845,Spanish%Arabic
algae (n.),,1794,Latin
algebra (n.),,1550,Medieval Latin%Arabic
Algernon,-,-,Old French%Vulgar Latin
Algol,late ,14,Arabic
Algonquin,,1620,French%Micmac
algorithm (n.),,1690,French%Old French%Medieval Latin
Alhambra,-,-,Arabic
alias (adv.),mid-,15,Latin%PIE
alibi (n.),,1743,Latin
Alice,,20,Old French%Old High German
alien (adj.),mid-,14,Old French%Latin
alienate (v.),,1540,Latin
alienation (n.),late ,14,Old French%Latin
alienist (n.),,1864,French
alight (adj.),early ,15,Middle English
align (v.),early ,15,Middle French%Old French%Latin
alignment (n.),,1790,French
alike (adj.),,1300,Old English%Proto-Germanic
aliment (n.),late ,15,Latin
alimentary (adj.),,1610,Medieval Latin%Latin%PIE
alimony (n.),,1650,Latin
Alison,-,-,French
alive (adj.),,1200,Old English
alkahest (n.),,1640,French%Medieval Latin
alkali (n.),late ,14,Medieval Latin%Arabic
alkanet (n.),early ,14,Spanish%Arabic
all,,1880,Old English%Proto-Germanic
Allah,,1702,Arabic
allative (n.),,1860,Latin
allay (v.),,17,Latin
allegation (n.),early ,15,Middle French%Latin
allegiance (n.),late ,14,Anglo-French%Old French
allegorical (adj.),,1520,French%Latin%Greek
allegory (n.),late ,14,Old French%Latin%Greek
allegretto,,1740,Italian
allegro,,1680,Italian%Latin
allele (n.),,1931,German%Greek
alleluia,late ,14,Latin%Greek%Hebrew
allemande (n.),,1775,French
allergy (n.),,1911,German%Greek
alleviate (v.),late ,15,Middle French%Late Latin%Latin
alleviation (n.),early ,15,Middle French%Medieval Latin
alley (n.),mid-,14,Old French%Gallo-Roman%Latin
alliance (n.),,1300,Old French
alligator (n.),,1560,Latin
alliteration (n.),,1650,Modern Latin%Latin
allo-,-,-,Greek
allocate (v.),,1630,Medieval Latin%Latin
allocation (n.),mid-,15,Middle French%Medieval Latin
allogenic (adj.),,1888,Greek
allopathic (adj.),,1830,French
allopathy (n.),,1842,German%Greek
allot (v.),late ,15,Old French
allotment (n.),,1570,Middle French%Old French
allowable (adj.),late ,14,Old French
allowance (n.),late ,14,Old French
alloy (n.),early ,14,Anglo-French
alloy (v.),,1400,Old French%Latin
allude (v.),,1530,Middle French%Latin
allure (v.),,1400,Anglo-French
allusion (n.),,1540,Latin
allusive (adj.),,1600,Latin
alluvial (adj.),,1802,Latin
alluvium (n.),,1660,Medieval Latin%Latin
ally (v.),late ,13,Old French
Alma,-,-,Latin
almagest (n.),late ,14,Old French%Arabic
almah (n.),,1814,Arabic
almighty (adj.),,1836,Old English
almond (n.),,1300,Old French%Vulgar Latin%Latin%Greek
almoner (n.),,1300,Old French%Vulgar Latin%Late Latin
alms (n.),,3,Old English%Proto-Germanic%Church Latin%Greek
aloe (n.),late ,14,Old English%Latin%Greek
"alone (adj., adv.)",,1300,Old English
along (prep.),-,-,Old English
aloof (adj.),,1530,Dutch
Aloysius,-,-,Medieval Latin%Old French
alp (n.),,1590,French%Latin
alpaca (n.),,1792,Spanish%Aymara
alpha (n.),,1300,Latin%Greek
alphabet (n.),,1570,Late Latin%Greek
Alphonso,,13,Spanish
Alpine (adj.),early ,15,Latin
Alsace,,18,Old High German%Proto-Germanic
also (adv.),,12,Old English
Altaic,,1832,French
Altair,,16,Arabic
altar (n.),,1500,Old English%Latin%Old French
alter (v.),late ,14,Old French%Medieval Latin%Latin%PIE
alteration (n.),late ,14,Old French%Medieval Latin
altercate (v.),,1520,Latin
altercation (n.),late ,14,Old French%Latin
alternate (adj.),,1510,Latin
alternate (v.),,1590,Latin
alternation (n.),mid-,15,Old French%Latin
alternative (adj.),,1580,Medieval Latin%Latin
alternative (n.),,1620,Medieval Latin
altimeter (n.),,1918,Modern Latin
altimetry (n.),,1690,Medieval Latin%Latin
altitude (n.),late ,14,Latin
alto (n.),,1784,Italian%Latin
altruism (n .),,1853,French%Old French%Latin
altruistic (adj.),,1853,French
alum (n.),late ,14,Old French%Latin
aluminum (n.),,1812,Latin
alumnus (n.),,1640,Latin
alveolar (adj.),,1799,Modern Latin
alveolus (n.),,1706,Latin%PIE
Alyssum (n.),,1550,Latin%Greek
am (v.),,13,PIE
amable (adj.),early ,15,Old French%Latin
amah (n.),,1839,Portuguese%Medieval Latin%PIE
amalgam (n.),,1400,Old French%Medieval Latin%Arabic%Greek
amanuensis (n.),,1610,Latin
amaranth (n.),,1610,French%Latin%Greek%PIE
amarillo (n.),-,-,Arabic
amaryllis (n.),,1794,Greek
amass (v.),late ,15,Old French
amastia (n.),,3,Greek
amateur (n.),,1784,French%Latin
amative (adj.),,1630,Latin
amatory (adj.),,1590,Latin
Amazon (n.),late ,14,Greek
ambagious (adj.),,1650,French%Latin
ambassador (n.),late ,14,Middle French%Old French%Latin%Celtic%PIE
amber (n.),mid-,14,Old French%Medieval Latin%Arabic
ambergris (n.),early ,15,Middle French
ambi-,-,-,Latin%PIE
ambidexterity (n.),,1650,Medieval Latin
ambidextrous (adj.),,1640,French%Latin
ambience (n.),,1797,French
ambient (adj.),,1590,Latin
ambiguity (n.),,1400,Medieval Latin
ambiguous (adj.),,1520,Latin
ambit (n.),late ,14,Latin
ambition (n.),mid-,14,Middle French%Latin
ambitious (adj.),late ,14,Latin
ambivalence (n.),,1924,German%Latin
amble (v.),early ,14,Old French%Latin%PIE
amblosis (n.),,1706,Greek
amblyopia (n.),,1706,Greek
Ambrose,,397,Latin%Greek
ambrosia (n.),,1550,Latin%Greek%PIE
ambrosial (adj.),,1590,Latin%Greek
ambrotype (n.),,1855,Greek
ambulance (n.),,1798,French%Latin
ambulant (adj.),,1610,Latin
ambulate (v.),,1620,Latin
ambulation (n.),,1540,Latin
ambulatory (adj.),,1620,Latin
ambulatory (n.),-,-,Medieval Latin%Latin
ambuscade (n.),,1580,French%Italian
ambush (v.),,1300,Old French%Frankish
ambush (n.),late ,15,Middle French%Old French
ame damnee (n.),,1823,French
amelioration (n.),,1650,French%Old French%Late Latin%Latin%PIE
amen,,26,Late Latin%Ecclesiastical Greek%Hebrew%Semitic
amenable (adj.),,1590,Anglo-French%Latin
amend (v.),early ,13,Old French%Latin%PIE
amendment (n.),early ,13,Old French
amends (n.),early ,14,Old French
amenity (n.),late ,14,Old French%Latin
ament (n.),,1894,Latin
amentia (n.),late ,14,Latin
America,,1507,Modern Latin
American,,1570,Modern Latin
amethyst (n.),late ,13,Old French%Medieval Latin%Latin%Greek
ami (n.),,14,Old French
amiable (adj.),mid-,14,Old French%Late Latin
amicable (adj.),early ,15,Late Latin%Latin
amid (prep.),late ,14,Old English
amigo (n.),,1837,Spanish%Latin
amity (n.),mid-,15,Old French%Vulgar Latin
ammonia (n.),,1799,Greek
ammonite (n.),,1758,Medieval Latin
ammunition (n.),,1620,Latin
amnesia (n.),,1786,Greek%PIE
amnestic (adj.),,1879,Greek
amnesty (n.),,1570,French%Latin%Greek
amniocentesis (n.),,1958,Greek
amnion (n.),,1660,Greek
amniotic (adj.),,1822,Modern Latin
amoeba (n.),,1855,Modern Latin%Greek%PIE
